run,settings,git_sha,day,email,type,balance,contract_earnings,contract_payout_frequency
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,admin@bugmark.net,,0.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker9_healthmetricsnoprices@bugmark.net,HealthMetricsNoPrices,990.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,funder4_correlatedpay@bugmark.net,correlatedPay,100000000.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker1_nometricsnoprices_riskaverse@bugmark.net,NoMetricsNoPrices_riskAverse,1000.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker2_nometricsnoprices_riskaverse@bugmark.net,NoMetricsNoPrices_riskAverse,1000.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker3_nometricsnoprices_random@bugmark.net,NoMetricsNoPrices_random,1000.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker6_nometricswithprices_riskaverse@bugmark.net,NoMetricsWithPrices_riskAverse,1000.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker7_nometricswithprices_rewardseeking@bugmark.net,NoMetricsWithPrices_rewardSeeking,1000.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker8_nometricswithprices_rewardseeking@bugmark.net,NoMetricsWithPrices_rewardSeeking,1000.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,funder3_inversepay@bugmark.net,inversePay,99999830.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker11_healthmetricswithprices@bugmark.net,HealthMetricsWithPrices,1000.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker12_healthmetricswithprices@bugmark.net,HealthMetricsWithPrices,1000.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker10_healthmetricsnoprices@bugmark.net,HealthMetricsNoPrices,980.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker5_nometricswithprices_riskaverse@bugmark.net,NoMetricsWithPrices_riskAverse,985.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,funder1_randompay@bugmark.net,randomPay,99999915.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,worker4_nometricsnoprices_random@bugmark.net,NoMetricsNoPrices_random,995.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,1,funder2_fixedpay@bugmark.net,fixedPay,99999905.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,admin@bugmark.net,,0.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker2_nometricsnoprices_riskaverse@bugmark.net,NoMetricsNoPrices_riskAverse,995.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker9_healthmetricsnoprices@bugmark.net,HealthMetricsNoPrices,990.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker3_nometricsnoprices_random@bugmark.net,NoMetricsNoPrices_random,995.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,funder2_fixedpay@bugmark.net,fixedPay,99999715.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker8_nometricswithprices_rewardseeking@bugmark.net,NoMetricsWithPrices_rewardSeeking,1000.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,funder3_inversepay@bugmark.net,inversePay,99999830.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker11_healthmetricswithprices@bugmark.net,HealthMetricsWithPrices,1000.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker10_healthmetricsnoprices@bugmark.net,HealthMetricsNoPrices,980.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker5_nometricswithprices_riskaverse@bugmark.net,NoMetricsWithPrices_riskAverse,985.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker4_nometricsnoprices_random@bugmark.net,NoMetricsNoPrices_random,995.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker12_healthmetricswithprices@bugmark.net,HealthMetricsWithPrices,985.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker1_nometricsnoprices_riskaverse@bugmark.net,NoMetricsNoPrices_riskAverse,995.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,funder4_correlatedpay@bugmark.net,correlatedPay,99999820.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker7_nometricswithprices_rewardseeking@bugmark.net,NoMetricsWithPrices_rewardSeeking,980.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,worker6_nometricswithprices_riskaverse@bugmark.net,NoMetricsWithPrices_riskAverse,980.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,2,funder1_randompay@bugmark.net,randomPay,99999755.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,admin@bugmark.net,,0.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,worker2_nometricsnoprices_riskaverse@bugmark.net,NoMetricsNoPrices_riskAverse,995.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,funder3_inversepay@bugmark.net,inversePay,99999740.0,20.0,0.5
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,worker3_nometricsnoprices_random@bugmark.net,NoMetricsNoPrices_random,995.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,worker5_nometricswithprices_riskaverse@bugmark.net,NoMetricsWithPrices_riskAverse,1080.0,85.0,1.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,worker9_healthmetricsnoprices@bugmark.net,HealthMetricsNoPrices,1090.0,90.0,1.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,worker4_nometricsnoprices_random@bugmark.net,NoMetricsNoPrices_random,1090.0,95.0,1.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,worker11_healthmetricswithprices@bugmark.net,HealthMetricsWithPrices,995.0,0.0,0.0
2018-06-09 07:58:59,none,db6c514c0c28549e3f9cdd3fc4845ece62ac8185,3,funder2_fixedpay@bugmark.net,fixedPay,99999620.0,0.0,0.0
